URL,DSLD ID,Product Name,Brand Name,Bar Code,Net Contents,Serving Size,Product Type [LanguaL],Supplement Form [LanguaL],Date Entered into DSLD,Market Status,Suggested Use
https://dsld.od.nih.gov/label/6075,6075,Saccharomycin DF,XYMOGEN,,60 Vegetable Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2012-02-23,Off Market,Directions: Take one to two capsules per day; or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6076,6076,OncoPLEX ES,XYMOGEN EP,,60 Vegetable Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2012-02-23,Off Market,Directions: Take one capsule twice daily; or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6077,6077,OptiMag 125,XYMOGEN,,120 Vegetable Capsule(s),1 Capsule(s),Mineral [A1299],Capsule [E0159],2012-02-23,Off Market,Directions: Take one to two capsules twice daily at or between meals; or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6078,6078,OptiMag 125,XYMOGEN,,240 Vegetable Capsule(s),1 Capsule(s),Mineral [A1299],Capsule [E0159],2012-02-23,Off Market,Directions: Take one to two capsules twice daily at or between meals; or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6079,6079,Oraxinol,XYMOGEN,,60 Vegetable Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2012-02-23,Off Market,Directions: Take one capsule twice daily; or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6080,6080,Ossopan MD,XYMOGEN,8 71149 00046 2,120 Vegetable Capsule(s),2 Capsule(s),Other Combinations [A1325],Capsule [E0159],2012-02-23,Off Market,Directions: Take two capsules twice daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6081,6081,Ossopan MD,XYMOGEN,,240 Vegetable Capsule(s),2 Capsule(s),Other Combinations [A1325],Capsule [E0159],2012-02-23,Off Market,Directions: Take two capsules twice daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6082,6082,5-MTHF ES,XYMOGEN,,60 Vegetable Capsule(s),1 Capsule(s),Vitamin [A1302],Capsule [E0159],2012-02-23,Off Market,DIRECTIONS: Take one to two capsules daily; or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6083,6083,Adrenal Essence,XYMOGEN,,120 Vegetable Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2012-02-23,Off Market,Directions: Take 1 capsule twice daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6084,6084,Adrenal Essence,XYMOGEN,,60 Vegetable Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2012-02-23,Off Market,Directions: Take 1 capsule twice daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6085,6085,AdrenaMax,XYMOGEN,,120 Vegetable Capsule(s),1 Capsule(s),Amino acid/Protein [A1305],Capsule [E0159],2012-02-23,Off Market,Directions: Take 1 to 3 capsules once or twice a day or as directed by a licensed healthcare practitioner.
https://dsld.od.nih.gov/label/6086,6086,OncoPLEX,XYMOGEN EP,,120 Vegetable Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2012-02-23,Off Market,Directions: Take one capsule daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6087,6087,OncoPLEX,XYMOGEN EP,,30 Vegetable Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2012-02-23,On Market,Directions: Take one capsule daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6088,6088,Q-Sorb Co Q-10 100 mg,Sundown Naturals,0 30768 51047 3,75 Softgel(s),1 Softgel(s),Other Combinations [A1325],Softgel Capsule [E0161],2012-02-23,Off Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) SOFTGEL ONE TO TWO TIMES DAILY; PREFERABLY WITH A MEAL. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6089,6089,Q-Sorb Co Q-10 50 mg,Sundown Naturals,0 30768 51139 5,100 Softgel(s),1 Softgel(s),Other Combinations [A1325],Softgel Capsule [E0161],2012-02-23,Off Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) SOFTGEL TWO TIMES DAILY; PREFERABLY WITH MEALS. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6090,6090,V3 Weight Management Complex,Voyager Health Technologies,8 50868 00300 8,30 Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2012-02-23,Off Market,SUGGESTED USAGE: One capsule daily early morning or early afternoon; on an empty stomach or two hours after a meal; taken with eight ounces of water. For additional energy*; a second capsule may be taken. Do not take more than four capsules per day and avoid taking after 4:00PM to ensure proper sleep.
https://dsld.od.nih.gov/label/6091,6091,5-HTP,XYMOGEN,,60 Vegetable Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2012-02-23,On Market,Directions: Adults take 1-2 capsules three times daily on an empty stomach or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6092,6092,5-HTP CR,XYMOGEN,,60 Tablet(s),1 Tablet(s),Non-Nutrient/Non-Botanical [A1309],Tablet or Pill [E0155],2012-02-23,Off Market,Directions: Take one tablet; up to two times daily; with a meal. Do not exceed recommended dose.
https://dsld.od.nih.gov/label/6093,6093,5-MTHF,XYMOGEN,,60 Vegetable Capsule(s),1 Capsule(s),Vitamin [A1302],Capsule [E0159],2012-02-23,Off Market,DIRECTIONS: Take one to two capsules daily; or as directed by your healthcare practitioner.
